user_id,예금가입상품수,적금가입상품수,주거래은행,investment_style,annual_income,savings_goal,age,gender
88,5,2,17,0,3,3,28,1
89,2,3,3,2,5,2,45,0
90,2,2,9,2,5,3,42,0
91,2,5,9,2,4,2,26,1
92,2,3,6,1,1,4,43,1
93,4,4,1,1,5,4,22,1
94,6,1,8,0,0,1,22,0
95,3,2,2,2,3,0,46,0
96,1,2,1,1,1,5,54,0
97,5,3,9,0,2,1,51,1
98,2,1,13,2,2,5,24,1
99,5,5,2,2,3,4,22,1
100,6,5,1,0,5,2,44,1
101,5,1,5,2,5,3,19,0
102,3,2,11,1,3,5,43,1
103,5,5,2,2,3,4,19,1
104,2,1,13,1,1,5,31,1
105,2,4,11,0,4,0,40,0
106,6,6,10,2,3,2,30,0
107,6,4,9,0,4,2,45,1
108,4,4,14,0,4,4,42,1
109,1,1,9,0,2,0,43,0
110,2,5,2,1,5,5,36,1
111,3,3,15,1,1,2,20,0
112,1,5,2,0,4,3,33,1
113,5,4,6,0,2,2,44,0
114,2,4,1,1,5,4,51,1
115,1,1,16,2,5,2,47,1
116,5,5,9,0,2,1,44,0
117,4,2,2,2,3,0,32,0
118,4,1,8,2,3,2,26,0
119,4,2,1,1,4,1,38,0
120,4,5,8,2,4,2,47,1
121,1,1,3,1,1,0,30,1
122,5,1,0,1,5,5,36,0
123,4,5,6,1,2,3,20,0
124,3,3,2,1,2,5,20,0
125,5,1,2,2,2,3,21,1
126,1,6,8,1,2,4,50,1
127,1,2,8,0,3,4,25,1
128,1,2,8,0,4,3,52,1
129,6,2,17,2,4,1,39,0
130,6,6,6,0,0,2,41,0
131,3,2,14,1,0,5,48,0
132,5,1,2,1,1,1,28,1
133,3,3,9,1,2,5,50,1
134,5,1,8,1,3,1,33,0
135,2,1,5,2,0,4,28,0
136,5,3,3,1,5,1,30,1
137,4,3,3,2,5,2,34,0
138,1,1,3,0,4,4,36,0
139,1,1,10,1,4,2,44,1
140,1,1,17,0,3,5,48,0
141,3,1,9,0,3,3,35,0
142,2,5,7,2,4,5,43,0
143,5,6,4,2,5,5,39,0
144,5,4,2,2,1,2,32,1
145,1,6,8,2,1,0,49,0
146,3,2,16,1,3,0,47,0
147,5,3,6,0,4,0,36,0
148,6,2,2,0,3,5,25,1
149,1,5,7,2,1,1,32,1
150,6,3,1,1,4,2,25,1
151,1,4,1,1,5,5,29,1
152,6,3,3,1,0,4,48,1
153,4,5,3,1,1,5,45,0
154,4,2,4,1,5,4,49,1
155,5,5,2,2,4,2,39,1
156,3,2,1,1,3,1,53,0
157,5,5,3,0,3,0,38,0
158,6,4,16,2,2,4,20,0
159,2,6,7,1,5,3,51,0
160,2,1,9,0,5,2,23,1
161,1,5,13,0,0,1,25,1
162,6,4,1,2,5,5,29,0
163,5,6,0,2,4,5,53,0
164,3,5,2,2,1,3,28,0
165,6,2,3,1,0,4,25,0
166,4,3,2,1,1,2,33,0
167,6,2,4,0,0,1,49,1
168,5,4,1,1,3,1,38,1
169,1,1,3,2,1,3,43,1
170,3,2,9,1,5,1,23,0
171,4,3,6,0,4,3,51,0
172,6,6,0,0,3,2,19,0
173,5,4,9,0,0,4,46,1
174,5,4,9,1,0,1,54,0
175,6,5,6,1,2,4,49,0
176,4,6,15,2,1,4,22,0
177,3,1,11,1,2,2,41,0
178,2,3,9,1,2,4,42,0
179,3,2,2,2,4,3,31,0
180,5,2,4,2,4,5,45,1
181,2,1,10,0,4,0,29,0
182,6,5,6,2,4,0,20,1
183,4,4,13,2,3,2,48,1
184,2,4,5,2,0,4,30,0
185,2,3,11,2,4,4,51,1
186,5,1,9,1,1,2,25,0
187,2,6,15,0,5,1,42,1
188,3,6,0,1,1,3,50,1
189,6,2,4,1,0,2,23,1
190,2,4,14,1,0,5,41,1
191,3,2,12,0,1,0,26,0
192,2,2,6,1,5,3,33,0
193,5,1,4,2,0,5,27,1
194,1,5,12,2,1,5,28,0
195,5,6,9,1,2,5,49,0
196,2,6,17,2,4,4,33,1
197,6,4,9,1,2,1,32,0
198,2,4,7,0,2,4,30,0
199,5,3,9,2,3,1,36,1
200,6,1,9,0,5,0,47,0
201,2,5,8,1,3,0,36,1
202,1,1,6,2,4,2,29,0
203,1,2,14,1,5,0,23,0
204,5,6,9,1,1,2,44,0
205,2,2,10,0,1,1,31,0
206,1,4,6,2,2,1,42,0
207,6,2,3,0,2,3,26,0
208,2,4,9,1,1,0,53,0
209,4,5,6,2,2,4,37,1
210,1,1,1,0,3,2,21,0
211,1,6,4,1,4,2,50,0
212,4,2,17,1,4,5,47,0
213,4,6,0,2,1,3,22,1
214,3,1,4,2,4,5,52,1
215,3,2,2,1,4,4,44,0
216,5,2,5,2,1,4,38,0
217,6,5,9,2,5,0,35,1
218,6,1,12,2,1,0,40,0
219,6,5,4,1,2,5,44,0
220,1,4,4,1,1,0,50,1
221,4,4,3,2,5,5,42,0
222,4,3,6,0,5,4,26,1
223,5,2,7,0,2,0,33,1
224,2,6,16,1,5,5,31,0
225,4,4,3,2,2,4,47,0
226,3,2,2,1,1,4,39,0
227,2,3,11,0,2,5,42,1
228,3,6,12,2,3,4,38,1
229,4,3,2,0,1,2,30,0
230,2,6,6,0,1,5,36,1
231,4,5,2,2,1,0,52,1
232,3,1,14,0,0,3,54,1
233,1,4,5,0,1,0,25,1
234,4,6,9,2,1,2,26,0
235,4,6,15,0,4,0,50,0
236,5,4,1,0,3,4,28,1
237,1,6,13,1,1,0,52,0
238,1,4,6,2,0,2,49,0
239,4,2,6,2,5,5,39,1
240,3,2,14,0,1,3,22,1
241,6,4,9,2,0,2,48,1
242,2,2,3,1,2,3,30,0
243,6,3,0,2,2,5,25,0
244,4,2,2,0,2,1,42,0
245,1,5,10,2,2,3,32,0
246,5,5,9,1,1,2,48,1
247,6,3,14,0,4,1,29,1
248,4,6,13,2,4,4,27,1
249,6,4,15,0,2,3,44,1
250,4,3,14,2,5,2,27,1
251,3,5,6,2,0,3,25,1
252,5,2,1,0,1,1,40,1
253,3,5,2,0,0,0,48,1
254,5,3,4,0,4,5,45,1
255,3,4,1,1,0,3,53,1
256,5,3,7,1,3,1,21,0
257,5,6,16,0,2,5,24,1
258,4,4,9,1,2,3,25,1
259,6,6,9,0,2,0,22,0
260,3,6,6,2,3,2,50,0
261,1,2,6,2,5,4,42,0
262,1,1,6,1,1,3,44,0
263,6,1,6,0,3,4,25,0
264,5,6,8,2,0,1,19,0
265,4,5,8,1,4,4,25,1
266,2,1,13,0,0,2,36,1
267,5,4,9,0,1,5,37,0
268,4,3,6,1,4,2,27,0
269,1,4,3,1,4,1,27,1
270,2,6,1,0,1,2,35,0
271,2,1,6,1,0,5,22,0
272,4,2,4,2,0,0,29,1
273,6,4,9,2,0,1,34,0
274,6,2,2,0,1,4,27,1
275,6,4,1,1,4,4,39,0
276,2,5,11,2,0,5,46,1
277,2,5,2,1,3,3,41,0
278,2,4,2,0,4,4,52,0
279,3,3,2,1,4,4,42,0
280,4,2,13,1,2,1,41,1
281,2,2,14,1,0,1,42,0
282,5,5,6,0,1,3,43,1
283,3,3,10,0,5,1,36,0
284,2,3,14,0,5,4,24,1
285,4,4,2,1,1,2,31,0
286,6,5,1,2,1,1,27,1
287,3,6,6,0,5,1,32,0
288,2,1,8,0,4,3,53,0
289,4,5,13,0,0,0,26,1
290,6,3,4,1,1,1,21,0
291,3,6,4,0,3,4,38,1
292,4,4,8,1,5,5,46,1
293,5,2,12,2,0,5,51,0
294,6,2,3,0,0,4,30,0
295,3,1,2,0,3,3,53,1
296,1,5,2,2,0,3,38,1
297,2,1,8,0,4,1,38,1
298,1,2,8,2,5,3,23,0
299,2,3,11,1,4,0,32,1
300,2,4,3,2,4,5,49,0
301,4,6,8,1,3,2,22,1
302,4,2,4,0,1,3,54,0
303,2,1,0,2,0,1,22,0
304,5,5,9,0,4,4,19,0
305,3,1,2,0,5,1,19,1
306,6,5,15,2,3,4,36,0
307,1,5,2,1,0,5,34,0
308,6,2,0,2,1,2,40,0
309,2,3,8,2,3,5,53,1
310,3,5,13,1,3,1,41,1
311,1,5,4,2,0,4,53,0
312,3,6,2,0,5,2,33,1
313,3,1,14,0,1,1,32,0
314,1,5,11,2,4,2,53,0
315,1,4,9,1,0,0,28,0
316,6,6,15,2,1,2,33,1
317,5,6,1,1,1,5,49,1
318,5,1,2,1,0,4,36,0
319,1,4,6,1,4,3,19,0
320,6,5,6,1,3,2,37,1
321,5,4,1,2,0,1,26,0
322,5,1,2,0,2,2,42,0
323,6,3,3,2,5,4,50,1
324,6,4,4,0,3,5,29,1
325,6,4,4,0,5,4,27,0
326,2,4,4,2,3,0,39,0
327,2,1,8,0,5,4,38,1
328,5,4,9,2,2,0,20,0
329,2,5,4,0,2,1,54,1
330,4,4,12,0,5,0,43,0
331,5,5,13,2,1,2,21,1
332,5,5,2,0,0,5,39,0
333,2,2,2,1,5,4,33,1
334,6,5,3,2,1,1,26,1
335,1,4,14,2,3,4,35,1
336,2,4,7,1,1,1,30,1
337,3,1,8,2,0,1,37,1
338,6,2,1,2,2,2,54,0
339,1,3,1,0,1,5,26,1
340,4,5,3,1,5,0,43,1
341,4,3,4,0,4,3,29,1
342,1,3,6,2,4,4,29,1
343,4,2,14,2,4,0,32,1
344,3,2,14,2,2,2,46,0
345,4,2,6,1,0,2,19,0
346,1,3,4,2,3,3,46,1
347,4,2,0,2,4,4,28,1
348,1,4,6,1,5,4,38,1
349,2,6,10,0,3,1,22,0
350,6,3,12,0,4,4,44,1
351,6,3,2,2,3,5,35,0
352,5,4,15,0,5,0,22,0
353,6,3,2,0,5,2,24,0
354,1,2,8,0,5,4,46,0
355,4,1,0,1,2,0,44,1
356,2,3,6,0,5,5,25,0
357,2,4,9,0,2,1,47,0
358,3,3,3,0,0,3,47,0
359,2,1,6,0,1,5,34,1
360,3,2,6,1,2,2,21,0
361,5,1,5,0,2,2,27,1
362,2,5,4,2,1,5,51,1
363,4,5,5,2,4,3,46,0
364,4,4,2,1,4,1,20,0
365,1,2,3,2,1,5,32,1
366,2,3,13,2,5,3,51,1
367,5,3,0,0,5,1,31,1
368,4,4,13,0,0,3,22,1
369,3,6,6,0,0,0,45,1
370,3,3,15,0,0,0,23,0
371,4,1,2,1,5,5,31,0
372,5,2,15,0,2,4,29,0
373,6,5,16,0,3,5,30,1
374,3,6,17,0,5,3,31,1
375,5,2,1,0,2,1,23,0
376,5,6,4,2,5,5,25,0
377,4,5,3,0,2,5,25,1
378,6,4,12,0,4,0,21,1
379,3,6,6,1,2,4,38,1
380,6,3,12,1,1,3,38,0
381,1,1,6,1,4,5,45,0
382,4,5,8,0,5,3,24,1
383,5,3,16,2,4,2,22,1
384,2,6,3,0,2,2,19,1
385,5,5,4,1,1,2,26,1
386,2,6,2,2,0,1,40,1
387,4,4,1,0,0,2,49,1
388,4,4,4,1,1,5,50,1
389,3,4,6,2,5,1,48,0
390,2,4,14,1,0,2,42,1
391,5,1,12,0,3,1,28,1
392,6,2,12,0,0,4,32,0
393,2,2,0,2,1,1,33,1
394,2,3,0,1,1,2,36,1
395,3,1,2,1,1,1,50,1
396,5,4,3,2,4,4,50,1
397,1,3,0,2,4,0,52,1
398,5,1,1,0,3,0,35,0
399,2,6,15,1,1,5,50,0
400,4,6,2,0,5,2,39,0
401,2,1,13,0,1,2,24,1
402,2,3,5,2,2,0,24,0
403,6,6,10,2,4,5,23,1
404,6,4,2,0,0,4,40,0
405,3,2,4,1,1,0,30,1
406,1,2,4,1,5,1,47,1
407,5,4,2,1,0,5,28,1
408,6,6,3,2,5,3,41,1
409,4,5,3,0,4,3,24,0
410,6,4,9,2,2,4,45,0
411,2,3,14,1,2,5,29,1
412,6,6,9,1,4,5,24,0
413,6,3,13,1,3,0,53,0
414,3,4,7,1,1,5,43,1
415,6,5,6,2,3,4,50,1
416,6,3,3,1,2,5,42,0
417,5,6,7,2,2,5,45,0
418,5,6,2,1,2,1,44,1
419,3,3,17,2,3,4,44,0
420,5,4,2,2,3,2,36,0
421,6,6,9,0,3,4,43,1
422,1,6,1,1,0,2,40,0
423,2,1,1,2,3,3,33,1
424,6,1,16,2,3,4,51,1
425,6,6,0,1,3,1,22,1
426,5,5,13,0,3,0,51,1
427,2,3,11,2,0,3,51,1
428,6,1,12,1,1,1,39,0
429,1,5,4,0,4,1,52,1
430,4,6,0,2,0,1,26,1
431,5,1,3,0,1,1,51,1
432,1,4,3,2,0,1,37,0
433,4,1,15,0,2,1,43,0
434,2,3,1,2,4,5,28,1
435,4,3,3,0,2,1,29,0
436,2,5,1,0,3,1,32,1
437,6,2,4,1,3,0,49,0
438,2,4,9,0,4,1,48,1
439,5,3,9,2,4,2,38,1
440,6,6,9,1,2,4,28,1
441,4,4,1,0,4,2,35,0
442,5,3,16,1,3,2,38,0
443,1,1,3,2,2,5,26,1
444,1,4,1,2,4,0,42,0
445,2,4,1,0,3,4,26,1
446,4,5,1,0,1,4,43,1
447,4,6,4,1,4,4,19,1
448,6,2,8,2,1,5,36,1
449,5,2,2,0,2,5,53,1
450,6,4,8,0,2,1,23,0
451,6,1,12,2,4,2,25,1
452,6,6,3,2,4,1,25,0
453,3,5,11,0,4,3,39,0
454,2,5,4,2,0,1,38,0
455,6,4,9,2,4,0,46,0
456,4,6,2,1,5,2,27,0
457,1,3,14,0,3,1,33,1
458,1,3,3,1,2,0,23,1
459,4,1,9,1,4,3,26,0
460,5,2,5,0,1,1,19,0
461,4,4,1,1,5,3,35,0
462,2,6,10,2,2,4,49,1
463,1,1,1,2,3,5,24,0
464,4,1,11,0,0,5,27,0
465,1,5,4,2,4,5,41,1
466,5,3,17,0,3,0,43,0
467,1,4,13,0,5,4,48,1
468,5,4,9,1,2,2,52,1
469,4,4,4,1,3,5,41,0
470,5,1,4,0,1,3,24,1
471,5,2,6,2,3,1,34,0
472,3,2,16,0,2,2,45,1
473,1,6,6,0,5,3,46,1
474,3,5,3,2,5,0,45,0
475,6,6,4,1,3,2,22,0
476,4,2,14,1,0,2,32,0
477,6,6,3,0,3,0,19,0
478,2,4,7,0,0,5,45,0
479,4,6,8,1,5,2,35,1
480,6,5,9,2,4,3,26,0
481,5,3,1,0,1,5,29,1
482,5,5,4,2,1,1,33,1
483,1,6,6,1,0,2,47,1
484,2,6,6,2,0,3,34,0
485,3,3,9,2,1,1,31,1
486,5,6,4,0,3,0,47,1
487,2,2,8,2,2,0,53,1
488,5,3,6,2,1,5,36,1
489,2,3,7,0,3,3,43,0
490,4,4,1,0,3,5,48,0
491,4,5,4,0,2,0,48,1
492,5,5,17,2,2,0,38,0
493,5,2,9,1,3,2,22,0
494,1,5,0,0,1,3,27,0
495,6,6,0,2,0,1,25,0
496,2,4,10,0,2,5,44,1
497,4,4,1,0,2,1,42,1
498,2,1,1,1,3,5,25,1
499,3,2,16,0,1,1,30,1
500,2,5,11,1,5,0,32,1
501,2,2,0,2,1,3,29,0
502,5,5,6,1,1,5,47,1
503,2,4,5,1,4,4,35,0
504,5,2,2,0,3,4,38,1
505,5,2,10,2,3,1,51,1
506,5,6,8,1,2,3,24,0
507,6,3,14,2,4,3,29,1
508,3,1,16,0,1,1,45,0
509,3,6,10,2,1,1,19,0
510,3,3,1,0,3,2,43,0
511,2,1,7,1,1,4,49,0
512,1,2,6,2,0,1,42,0
513,6,4,15,0,0,4,22,1
514,4,6,13,1,3,2,39,1
515,4,1,11,1,3,4,41,0
516,4,4,1,1,2,4,51,1
517,2,5,12,0,3,1,38,0
518,5,1,6,2,0,0,42,0
519,4,2,15,0,0,4,47,1
520,3,3,2,1,2,4,31,0
521,6,3,15,1,0,0,22,0
522,3,3,12,1,1,2,42,1
523,1,3,9,2,0,0,27,0
524,1,1,12,2,0,3,53,0
525,2,4,2,1,3,4,23,0
526,6,6,6,1,0,2,36,1
527,2,3,6,0,5,5,27,0
528,4,5,15,0,0,2,42,1
529,3,6,2,0,5,3,27,1
530,5,3,5,0,3,2,37,1
531,1,6,10,2,1,0,30,0
532,5,3,4,0,4,4,21,1
533,6,3,8,1,0,4,28,1
534,1,5,10,2,2,3,22,0
535,6,4,9,0,1,4,49,1
536,2,1,2,2,3,1,28,0
537,5,2,4,0,1,3,32,1
538,2,3,13,2,2,5,48,1
539,6,4,3,2,2,2,54,0
540,6,2,9,1,3,2,25,1
541,3,1,17,2,1,4,19,0
542,6,4,11,1,3,3,46,1
543,1,5,3,0,0,4,37,0
544,4,2,16,1,0,2,51,0
545,3,3,3,0,3,3,19,1
546,4,4,15,1,0,4,38,1
547,2,2,17,1,1,5,30,1
548,2,1,9,1,1,3,19,1
549,6,4,6,0,0,0,39,0
550,1,1,3,1,5,0,26,0
551,4,2,14,1,5,2,19,0
552,2,6,4,2,2,2,54,1
553,1,5,3,0,4,2,25,1
554,4,5,3,1,4,5,24,1
555,3,2,2,2,4,0,33,1
556,1,5,7,1,3,1,35,1
557,2,1,1,2,0,1,53,0
558,1,1,13,0,5,2,34,1
559,4,5,4,0,3,0,45,1
560,4,2,9,0,1,3,25,0
561,5,5,1,2,2,1,26,1
562,1,3,1,2,1,0,45,1
563,4,5,4,0,4,5,52,1
564,6,5,7,1,3,1,42,0
565,3,5,17,1,2,5,21,0
566,6,4,13,0,5,0,24,0
567,6,5,15,2,0,4,37,1
568,3,6,9,0,4,2,50,0
569,4,5,2,2,5,0,52,0
570,6,1,5,1,4,2,25,1
571,2,4,9,1,4,4,33,1
572,6,5,9,1,2,4,37,0
573,5,1,2,2,5,4,20,1
574,2,3,4,0,3,2,52,0
575,4,2,13,0,2,4,30,0
576,1,1,8,2,4,2,42,0
577,3,5,3,0,3,2,44,1
578,5,2,6,1,5,1,20,1
579,6,1,16,2,5,3,39,1
580,4,3,1,1,4,1,20,0
581,1,1,8,0,3,2,41,0
582,3,3,3,1,4,4,24,0
583,1,3,11,1,5,5,30,1
584,3,1,12,2,3,3,19,0
585,1,3,8,0,5,0,24,1
586,3,6,4,2,5,3,35,1
587,5,2,15,1,3,5,19,0
588,6,4,11,2,3,1,37,1
589,3,1,11,0,5,2,26,1
590,6,5,1,2,2,3,51,0
591,6,2,4,2,0,4,44,1
592,1,4,10,2,2,4,31,0
593,4,4,17,1,1,5,41,0
594,1,1,2,0,5,3,54,0
595,5,4,6,0,0,3,19,0
596,6,2,8,0,2,5,42,1
597,4,5,6,2,3,1,45,1
598,6,5,1,0,4,4,19,0
599,2,6,8,0,2,1,54,1
600,4,5,2,2,5,3,38,1
601,5,3,3,1,5,1,45,1
602,5,1,9,0,4,0,22,1
603,2,4,6,1,1,5,54,1
604,3,6,1,1,1,5,29,0
605,1,2,8,2,2,0,37,1
606,3,5,6,0,1,0,39,1
607,5,5,9,0,0,3,54,0
608,1,4,8,0,2,2,28,1
609,2,6,1,2,1,5,40,1
610,1,5,3,2,0,1,40,1
611,3,5,16,2,2,2,43,0
612,2,4,12,1,3,0,28,1
613,5,5,4,2,4,3,51,1
614,1,1,2,0,0,1,23,0
615,6,4,2,2,0,3,46,1
616,6,2,3,2,5,1,42,0
617,3,2,16,0,5,5,44,0
618,3,2,9,2,4,3,23,1
619,4,4,0,2,3,5,32,0
620,5,2,4,0,2,4,51,0
621,5,1,10,2,2,3,23,0
622,1,1,4,2,4,2,50,0
623,1,1,9,0,0,3,23,0
624,1,4,1,2,4,4,25,0
625,5,2,2,2,5,1,21,1
626,6,5,2,1,5,1,25,0
627,4,4,3,0,4,3,50,0
628,3,1,8,2,1,0,51,0
629,4,4,3,1,5,2,21,0
630,6,5,13,2,5,2,20,0
631,3,1,12,0,1,0,51,1
632,4,4,15,1,1,5,42,0
633,1,4,13,0,0,0,47,0
634,3,4,0,0,3,4,22,1
635,4,3,1,1,2,5,22,0
636,1,6,2,0,4,2,45,0
637,1,5,11,1,4,2,21,1
638,6,1,6,1,3,1,54,1
639,4,4,6,0,1,2,26,1
640,4,2,4,0,1,3,54,1
641,2,5,7,0,1,2,36,1
642,5,5,4,1,5,3,40,1
643,2,1,8,0,5,0,44,0
644,6,3,0,1,3,5,45,0
645,4,5,6,0,5,1,21,0
646,1,4,1,1,1,2,48,1
647,6,3,2,2,2,1,27,0
648,3,5,10,0,2,1,24,1
649,1,6,15,0,5,5,53,1
650,1,1,4,0,1,3,43,1
651,4,3,6,2,1,5,20,1
652,6,3,8,0,0,1,42,0
653,2,3,12,2,0,3,27,1
654,3,2,8,2,0,4,29,0
655,6,5,16,0,2,1,30,1
656,5,5,1,0,2,4,52,1
657,5,4,10,2,1,4,33,1
658,1,3,3,0,4,0,20,1
659,4,6,4,2,0,4,22,0
660,6,5,4,1,1,1,50,0
661,4,3,6,1,1,4,32,0
662,1,2,3,2,2,5,50,1
663,1,2,13,0,5,5,40,0
664,1,4,6,1,0,2,43,0
665,1,6,10,1,5,4,38,0
666,6,6,3,2,4,2,47,1
667,5,1,13,2,0,1,38,1
668,4,2,9,2,3,0,19,0
669,5,2,4,0,0,5,24,1
670,2,6,7,0,1,5,42,0
671,2,5,13,2,4,0,50,1
672,3,5,4,2,0,2,40,1
673,4,4,2,0,2,5,43,1
674,5,2,3,0,5,3,51,1
675,6,1,6,0,2,2,51,0
676,5,2,9,2,0,5,36,1
677,2,4,4,1,1,4,52,1
678,3,4,3,0,5,2,25,0
679,4,6,0,2,0,3,47,0
680,4,3,11,0,1,4,43,1
681,1,3,1,1,2,1,21,0
682,5,2,8,0,3,5,47,0
683,5,6,7,2,0,1,42,0
684,6,6,3,1,2,4,32,0
685,2,4,7,2,2,4,50,0
686,1,6,1,2,2,5,26,1
687,3,4,9,0,3,0,32,1
688,5,5,3,2,4,4,46,0
689,1,3,2,0,2,4,33,1
690,1,1,6,0,1,3,48,0
691,3,6,1,1,5,2,37,1
692,5,2,16,2,4,4,30,0
693,1,1,12,0,2,5,35,1
694,6,3,9,1,4,3,22,1
695,6,2,9,0,1,1,23,1
696,3,4,4,2,4,4,21,0
697,3,4,2,0,4,5,35,1
698,1,6,12,1,5,1,46,0
699,4,2,0,1,3,3,33,0
700,6,3,3,1,0,4,26,1
701,1,4,7,1,3,3,37,0
702,1,2,2,2,4,3,22,1
703,5,4,4,2,2,0,49,1
704,3,4,7,0,0,2,22,1
705,2,2,14,2,2,3,22,1
706,4,3,1,1,0,3,42,1
707,4,4,8,0,2,1,39,1
708,6,2,9,0,0,4,30,0
709,3,6,3,1,1,3,21,0
710,6,1,4,2,4,1,43,0
711,4,5,8,0,3,1,19,0
712,2,6,3,2,3,2,46,0
713,2,1,12,2,1,0,30,0
714,3,1,2,0,1,3,49,0
715,4,1,17,1,5,0,54,1
716,6,3,6,0,4,5,20,1
717,5,6,9,1,3,4,24,1
718,6,2,4,1,3,1,21,1
719,1,6,1,2,5,0,47,1
720,2,6,11,0,1,0,52,1
721,1,5,4,1,4,1,33,1
722,2,1,5,1,0,2,24,1
723,5,2,8,2,5,0,26,1
724,1,5,2,1,3,3,49,1
725,2,2,2,1,4,1,53,0
726,4,2,6,2,5,1,23,1
727,5,3,9,0,3,0,20,0
728,6,2,9,1,5,2,30,0
729,4,4,3,1,4,3,38,1
730,5,2,15,2,3,0,29,0
731,6,2,9,1,0,0,30,0
732,5,3,9,0,5,1,50,0
733,3,2,3,1,1,5,40,0
734,4,5,3,2,5,0,50,1
735,3,5,1,1,0,4,24,1
736,2,5,2,0,3,2,34,0
737,3,2,3,2,1,2,23,1
738,4,2,5,1,4,5,33,0
739,3,3,9,2,5,0,23,1
740,4,1,2,2,4,3,42,0
741,3,2,2,0,1,1,22,0
742,4,3,3,1,2,5,41,1
743,2,1,7,0,2,1,47,0
744,3,5,2,0,1,3,30,1
745,6,4,12,2,2,1,51,1
746,2,1,6,2,1,4,38,1
747,3,2,15,1,0,0,46,1
748,1,3,15,1,1,0,35,0
749,3,4,3,2,1,5,39,1
750,3,6,3,0,2,2,36,0
751,3,3,3,1,1,4,29,1
752,6,5,9,1,1,4,36,0
753,4,2,2,1,1,0,22,0
754,4,2,1,2,5,3,23,0
755,4,5,1,2,1,2,19,1
756,3,2,9,2,4,2,35,1
757,2,2,3,0,5,4,30,1
758,2,1,15,2,3,0,48,1
759,3,2,2,2,5,5,24,0
760,3,1,4,0,3,5,47,0
761,6,6,9,0,5,4,30,1
762,3,4,7,2,1,1,53,0
763,4,2,7,0,2,0,37,1
764,5,1,16,0,4,4,44,1
765,3,2,4,1,0,0,45,0
766,6,5,2,2,4,5,34,1
767,3,4,11,2,4,1,41,1
768,1,2,11,1,2,5,37,1
769,4,4,9,2,1,5,21,1
770,1,6,1,2,4,0,54,1
771,1,4,3,0,4,0,29,0
772,5,5,1,0,4,5,47,0
